method,strain,protein,EBC_ID,best_rank,n_complexes,total_interactions,n_hydrophobic,n_hbond,n_water_bridge,n_salt_bridge,n_pi_stack,n_pi_cation,n_halogen_bond,n_metal_complex
AD,congo,OPG112,EBC-07868,12,1,187,95,82,0,7,0,3,0,0
AD,congo,OPG112,EBC-07988,90,1,276,142,111,0,16,1,2,4,0
AD,congo,OPG112,EBC-08536,67,1,196,105,83,0,6,0,2,0,0
AD,congo,OPG112,EBC-08573,39,1,169,80,77,0,10,1,0,1,0
AD,congo,OPG112,EBC-08587,65,1,144,102,42,0,0,0,0,0,0
AD,congo,OPG112,EBC-08615,14,1,209,89,109,0,11,0,0,0,0
AD,congo,OPG112,EBC-08671,48,1,190,93,87,0,8,1,1,0,0
AD,congo,OPG112,EBC-08678,96,1,173,104,60,0,6,1,2,0,0
AD,congo,OPG112,EBC-08908,32,1,219,99,105,0,10,1,0,4,0
AD,congo,OPG112,EBC-08915,78,1,189,148,33,0,4,2,2,0,0
AD,congo,OPG112,EBC-09014,54,1,233,136,79,0,6,3,0,9,0
AD,congo,OPG112,EBC-09060,69,1,203,88,109,0,4,0,2,0,0
AD,congo,OPG112,EBC-09085,41,1,178,98,73,0,7,0,0,0,0
AD,congo,OPG112,EBC-09132,56,1,151,80,51,0,15,0,1,4,0
AD,congo,OPG112,EBC-09202,30,1,185,99,76,0,3,0,1,6,0
AD,congo,OPG112,EBC-108081,93,1,232,96,113,0,17,1,3,2,0
AD,congo,OPG112,EBC-11029,71,1,207,104,92,0,7,1,3,0,0
AD,congo,OPG112,EBC-11281,84,1,143,84,33,0,3,0,0,23,0
AD,congo,OPG112,EBC-11364,28,1,142,57,62,0,8,0,3,12,0
AD,congo,OPG112,EBC-11433,31,1,201,86,96,0,9,1,1,8,0
AD,congo,OPG112,EBC-11456,57,1,191,99,72,0,14,0,2,4,0
AD,congo,OPG112,EBC-118033,46,1,173,85,69,0,13,1,0,5,0
AD,congo,OPG112,EBC-12147,63,1,159,56,90,0,11,1,0,1,0
AD,congo,OPG112,EBC-12592,53,1,154,92,54,0,3,0,0,5,0
AD,congo,OPG112,EBC-13002,50,1,204,94,87,0,7,1,2,13,0
AD,congo,OPG112,EBC-13045,35,1,184,94,64,0,9,0,2,15,0
AD,congo,OPG112,EBC-13064,13,1,196,90,86,0,3,2,0,15,0
AD,congo,OPG112,EBC-13071,23,1,186,131,51,0,1,1,2,0,0
AD,congo,OPG112,EBC-131022,99,1,196,89,94,0,5,0,0,8,0
AD,congo,OPG112,EBC-13120,61,1,179,92,72,0,13,0,2,0,0
AD,congo,OPG112,EBC-13165,42,1,222,47,142,0,28,4,1,0,0
AD,congo,OPG112,EBC-13472,87,1,180,75,93,0,5,0,1,6,0
AD,congo,OPG112,EBC-13572,40,1,167,100,50,0,9,2,2,4,0
AD,congo,OPG112,EBC-13579,9,1,214,91,106,0,16,0,1,0,0
AD,congo,OPG112,EBC-13607,1,1,200,129,64,0,6,1,0,0,0
AD,congo,OPG112,EBC-13774,94,1,148,82,61,0,3,1,0,1,0
AD,congo,OPG112,EBC-14147,20,1,163,76,66,0,18,1,2,0,0
AD,congo,OPG112,EBC-144099,92,1,195,99,80,0,6,1,2,7,0
AD,congo,OPG112,EBC-145085,29,1,192,101,80,0,6,0,1,4,0
AD,congo,OPG112,EBC-145226,27,1,208,104,89,0,11,1,3,0,0
AD,congo,OPG112,EBC-148031,43,1,220,122,85,0,6,7,0,0,0
AD,congo,OPG112,EBC-149094,8,1,175,85,78,0,7,0,5,0,0
AD,congo,OPG112,EBC-157073,89,1,191,134,48,0,7,1,1,0,0
AD,congo,OPG112,EBC-157194,98,1,222,76,132,0,11,1,2,0,0
AD,congo,OPG112,EBC-157197,62,1,162,73,80,0,7,0,2,0,0
AD,congo,OPG112,EBC-157213,74,1,174,83,78,0,5,0,0,8,0
AD,congo,OPG112,EBC-157249,38,1,196,102,74,0,12,5,3,0,0
AD,congo,OPG112,EBC-160036,36,1,178,115,60,0,3,0,0,0,0
AD,congo,OPG112,EBC-217022,25,1,170,85,73,0,7,0,1,4,0
AD,congo,OPG112,EBC-218043,2,1,222,108,84,0,16,4,10,0,0
AD,congo,OPG112,EBC-221084,3,1,178,82,78,0,16,1,1,0,0
AD,congo,OPG112,EBC-251173,24,1,233,120,89,0,23,0,1,0,0
AD,congo,OPG112,EBC-252056,58,1,200,101,82,0,3,2,4,8,0
AD,congo,OPG112,EBC-252093,26,1,177,88,75,0,9,0,5,0,0
AD,congo,OPG112,EBC-252122,60,1,182,106,62,0,6,0,3,5,0
AD,congo,OPG112,EBC-253180,83,1,219,104,99,0,10,0,4,2,0
AD,congo,OPG112,EBC-27030,79,1,169,66,89,0,5,0,1,8,0
AD,congo,OPG112,EBC-27122,47,1,156,57,77,0,8,0,1,13,0
AD,congo,OPG112,EBC-27265,7,1,153,115,29,0,2,1,1,5,0
AD,congo,OPG112,EBC-273043,95,1,163,41,98,0,5,0,3,16,0
AD,congo,OPG112,EBC-27345,37,1,159,77,66,0,1,0,2,13,0
AD,congo,OPG112,EBC-27367,52,1,194,76,87,0,20,0,0,11,0
AD,congo,OPG112,EBC-27428,91,1,207,88,105,0,13,0,1,0,0
AD,congo,OPG112,EBC-287079,80,1,197,108,79,0,6,1,3,0,0
AD,congo,OPG112,EBC-289112,73,1,178,118,54,0,3,0,3,0,0
AD,congo,OPG112,EBC-290041,5,1,309,117,160,0,21,1,4,6,0
AD,congo,OPG112,EBC-291159,49,1,206,138,55,0,8,3,2,0,0
AD,congo,OPG112,EBC-291167,19,1,172,59,91,0,12,0,1,9,0
AD,congo,OPG112,EBC-306048,6,1,165,53,86,0,8,0,1,17,0
AD,congo,OPG112,EBC-309072,64,1,193,94,79,0,15,3,1,1,0
AD,congo,OPG112,EBC-367048,77,1,170,77,84,0,8,0,1,0,0
AD,congo,OPG112,EBC-373083,59,1,159,35,93,0,25,0,0,6,0
AD,congo,OPG112,EBC-43021,81,1,203,117,69,0,9,2,4,2,0
AD,congo,OPG112,EBC-44365,55,1,191,99,70,0,12,1,2,7,0
AD,congo,OPG112,EBC-44401,76,1,199,115,69,0,5,1,2,7,0
