strain,protein,EBC_ID,AD_best_rank,AF_best_rank,AD_n_halogen_bond,AF_n_halogen_bond,AD_n_hbond,AF_n_hbond,AD_n_hydrophobic,AF_n_hydrophobic,AD_n_metal_complex,AF_n_metal_complex,AD_n_pi_cation,AF_n_pi_cation,AD_n_pi_stack,AF_n_pi_stack,AD_n_salt_bridge,AF_n_salt_bridge,AD_n_water_bridge,AF_n_water_bridge,AD_total_interactions,AF_total_interactions,AD_minus_AF_total_interactions,AD_minus_AF_n_hydrophobic,AD_minus_AF_n_hbond,AD_minus_AF_n_water_bridge,AD_minus_AF_n_salt_bridge,AD_minus_AF_n_pi_stack,AD_minus_AF_n_pi_cation,AD_minus_AF_n_halogen_bond,AD_minus_AF_n_metal_complex
congo,OPG027,EBC-03144,,3.0,,0.0,,4.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,7.0,-7.0,-3.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03154,,32.0,,0.0,,3.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,6.0,-6.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03163,,2.0,,0.0,,2.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03164,,87.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03209,,4.0,,0.0,,1.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.0,-3.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03215,,24.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03229,,10.0,,0.0,,3.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03270,,64.0,,0.0,,2.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03367,,13.0,,0.0,,3.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03375,,36.0,,0.0,,1.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03563,,37.0,,0.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03569,,90.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03798,,47.0,,0.0,,2.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03838,12.0,,0.0,,24.0,,133.0,,0.0,,0.0,,0.0,,1.0,,0.0,,158.0,,158.0,133.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03839,86.0,,0.0,,58.0,,95.0,,0.0,,0.0,,0.0,,2.0,,0.0,,155.0,,155.0,95.0,58.0,0.0,2.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03852,49.0,,0.0,,34.0,,106.0,,0.0,,0.0,,2.0,,0.0,,0.0,,142.0,,142.0,106.0,34.0,0.0,0.0,2.0,0.0,0.0,0.0
congo,OPG027,EBC-03865,15.0,,0.0,,27.0,,141.0,,0.0,,1.0,,0.0,,1.0,,0.0,,170.0,,170.0,141.0,27.0,0.0,1.0,0.0,1.0,0.0,0.0
congo,OPG027,EBC-03989,,14.0,,0.0,,3.0,,2.0,,0.0,,0.0,,0.0,,2.0,,0.0,,7.0,-7.0,-2.0,-3.0,0.0,-2.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-04048,,100.0,,0.0,,2.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-04055,,69.0,,0.0,,2.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
